"ID_INNPACT";"PROVISION_DATE";"PROVISION_VALUE_USD";"NOVAL";"PERCENTAGE_PROVISION"
42459;1-1-2021 00:00:00;-545955.0;146280;0.00
42575;31-12-2018 00:00:00;-2.141881e+06;267864;0.00
42575;31-3-2019 00:00:00;-2.141881e+06;133932;0.00
42575;30-6-2019 00:00:00;-2.141881e+06;133932;0.00
42575;30-9-2019 00:00:00;-1.070941e+06;133932;0.00
42575;31-12-2019 00:00:00;-653650.0;133932;0.00
42592;1-9-2020 00:00:00;-809469.0;168972;0.00
42592;1-1-2021 00:00:00;-363669.0;168972;0.00
42606;8-7-2020 00:00:00;-185426.0;161091;0.00
42606;1-1-2021 00:00:00;-185426.0;161091;0.00
42671;1-9-2020 00:00:00;-315065.0;156399;0.00
42721;30-9-2018 00:00:00;-1.39e+07;217448;0.00
42721;31-12-2018 00:00:00;-1.64e+07;217448;0.00
42722;30-9-2018 00:00:00;-2.0e+06;218492;0.00
42722;31-12-2018 00:00:00;-2.0e+06;218492;0.00
42723;30-9-2018 00:00:00;-6.6e+06;220536;0.00
42723;31-12-2018 00:00:00;-6.6e+06;220536;0.00
42794;31-12-2018 00:00:00;-6.0e+06;228532;0.00
42794;31-3-2019 00:00:00;-6.0e+06;114266;0.00
42794;30-6-2019 00:00:00;-6.0e+06;114266;0.00
42794;30-9-2019 00:00:00;-6.0e+06;114266;0.00
42794;31-12-2019 00:00:00;-6.0e+06;114266;0.00
42794;31-3-2020 00:00:00;-6.0e+06;114266;0.00
42794;1-9-2020 00:00:00;-6.0e+06;114266;0.00
42794;1-1-2021 00:00:00;-5.867933e+06;114266;0.00
42795;30-9-2018 00:00:00;-6.0e+06;107973;0.00
42795;31-3-2019 00:00:00;-6.0e+06;107973;0.00
42795;30-6-2019 00:00:00;-6.0e+06;107973;0.00
42795;30-9-2019 00:00:00;-6.0e+06;107973;0.00
42795;31-12-2019 00:00:00;-6.0e+06;107973;0.00
42795;31-3-2020 00:00:00;-6.0e+06;107973;0.00
42795;1-9-2020 00:00:00;-6.0e+06;107973;0.00
42795;1-1-2021 00:00:00;-5.867933e+06;107973;0.00
42875;1-1-2021 00:00:00;-1.0e+06;157161;0.00
42875;1-4-2021 00:00:00;-1.24217e+06;157161;0.00
42879;1-1-2021 00:00:00;-1.1e+06;146231;0.00
42879;1-4-2021 00:00:00;-1.1e+06;146231;0.00
42880;1-1-2021 00:00:00;-570876.4;151970;0.00
42880;1-4-2021 00:00:00;-570876.4;151970;0.00
42881;1-1-2021 00:00:00;-2.260209e+06;137418;0.00
42881;1-4-2021 00:00:00;-2.260209e+06;137418;0.00
42905;8-7-2020 00:00:00;-178521.0;137624;0.00
42905;1-1-2021 00:00:00;-106856.0;137624;0.00
42910;30-9-2018 00:00:00;-91667.00;127252;0.00
42910;31-12-2018 00:00:00;-91667.00;127252;0.00
42910;31-3-2019 00:00:00;-91650.00;127252;0.00
42910;30-6-2019 00:00:00;-121756.0;127252;0.00
42910;30-9-2019 00:00:00;-121756.0;127252;0.00
42910;31-12-2019 00:00:00;-121756.1;127252;0.00
42910;31-3-2020 00:00:00;-121756.1;127252;0.00
42910;1-9-2020 00:00:00;-121756.1;127252;0.00
42910;1-1-2021 00:00:00;-91502.62;127252;0.00
42911;30-9-2018 00:00:00;-458333.0;146279;0.00
42911;31-12-2018 00:00:00;-458333.0;146279;0.00
42911;31-3-2019 00:00:00;-458350.0;146279;0.00
42911;30-6-2019 00:00:00;-710244.0;146279;0.00
42911;30-9-2019 00:00:00;-710244.0;146279;0.00
42911;31-12-2019 00:00:00;-710243.9;146279;0.00
42911;31-3-2020 00:00:00;-710243.9;146279;0.00
42911;1-9-2020 00:00:00;-710243.9;146279;0.00
42911;1-1-2021 00:00:00;-533765.3;146279;0.00
42920;31-12-2019 00:00:00;-1.60459e+06;134596;0.00
42920;31-3-2020 00:00:00;-2.5e+06;134596;0.00
42920;1-9-2020 00:00:00;-2.5e+06;134596;0.00
42920;1-1-2021 00:00:00;-2.5e+06;134596;0.00
42920;1-4-2021 00:00:00;-2.5e+06;134596;0.00
42931;30-9-2018 00:00:00;-300000.6;141778;0.00
42933;30-9-2018 00:00:00;-102046.2;138819;0.00
42935;30-9-2018 00:00:00;-71611.20;138820;0.00
42945;8-7-2020 00:00:00;-250000.0;157357;0.00
42945;1-1-2021 00:00:00;-250000.0;157357;0.00
42945;1-4-2021 00:00:00;-250000.0;157357;0.00
43025;31-12-2018 00:00:00;-3.189292e+06;146259;0.00
43025;31-3-2019 00:00:00;-3.211378e+06;146259;0.00
43025;30-6-2019 00:00:00;-3.220299e+06;146259;0.00
43025;30-9-2019 00:00:00;-3.206937e+06;146259;0.00
43025;31-12-2019 00:00:00;-3.194389e+06;146259;0.00
43025;31-3-2020 00:00:00;-3.038814e+06;146259;0.00
43025;1-9-2020 00:00:00;-2.998882e+06;146259;0.00
43025;1-1-2021 00:00:00;-2.936814e+06;146259;0.00
43025;1-4-2021 00:00:00;-2.831032e+06;146259;0.00
43133;31-12-2018 00:00:00;-525502.3;154411;0.00
43133;31-3-2019 00:00:00;-525502.3;154411;0.00
43133;30-6-2019 00:00:00;-525502.3;154411;0.00
43133;30-9-2019 00:00:00;-525502.3;154411;0.00
43133;31-12-2019 00:00:00;-525502.3;154411;0.00
43133;31-3-2020 00:00:00;-525502.3;154411;0.00
43133;1-9-2020 00:00:00;-525502.3;154411;0.00
43133;1-1-2021 00:00:00;-525502.3;154411;0.00
43133;1-4-2021 00:00:00;-593330.9;154411;0.00
43134;31-12-2018 00:00:00;-394126.7;154412;0.00
43134;31-3-2019 00:00:00;-394126.7;154412;0.00
43134;30-6-2019 00:00:00;-394126.7;154412;0.00
43134;30-9-2019 00:00:00;-394126.7;154412;0.00
43134;31-12-2019 00:00:00;-394126.7;154412;0.00
43134;31-3-2020 00:00:00;-394126.7;154412;0.00
43134;1-9-2020 00:00:00;-394126.7;154412;0.00
43134;1-1-2021 00:00:00;-394126.7;154412;0.00
43134;1-4-2021 00:00:00;-326298.1;154412;0.00
43399;1-9-2020 00:00:00;-375000.0;164565;0.00
43399;1-1-2021 00:00:00;-1.23096e+06;164565;0.00
43399;19-3-2021 00:00:00;-1.5e+06;164565;0.00
43399;1-4-2021 00:00:00;-1.477153e+06;164565;0.00
43538;1-9-2020 00:00:00;-131975.0;147335;0.00
43538;1-1-2021 00:00:00;-713676.5;147335;0.00
43540;1-9-2020 00:00:00;-131975.0;156381;0.00
43540;1-1-2021 00:00:00;-713676.5;156381;0.00
43690;31-12-2019 00:00:00;-250000.0;160417;0.00
43690;31-3-2020 00:00:00;-1.3e+06;160417;0.00
43690;8-7-2020 00:00:00;-450000.0;160417;0.00
43690;1-9-2020 00:00:00;-2.7e+06;160417;0.00
43690;1-1-2021 00:00:00;-5.0e+06;160417;0.00
43690;1-4-2021 00:00:00;-5.0e+06;160417;0.00
43726;1-1-2021 00:00:00;-988180.8;160528;0.00
43726;1-4-2021 00:00:00;-988180.8;160528;0.00
43740;31-3-2020 00:00:00;-500000.0;169372;0.00
43740;1-9-2020 00:00:00;-2.0e+06;169372;0.00
43740;1-1-2021 00:00:00;-2.0e+06;169372;0.00
43740;1-4-2021 00:00:00;-2.0e+06;169372;0.00
43752;1-9-2020 00:00:00;-3.2e+06;173274;0.00
43752;1-1-2021 00:00:00;-5.0e+06;173274;0.00
43752;1-4-2021 00:00:00;-5.0e+06;173274;0.00
43993;1-1-2021 00:00:00;-611750.0;178730;0.00
4171617;1-1-2021 00:00:00;-2.015421e+06;196631;0.00
4171617;1-4-2021 00:00:00;-1.948624e+06;196631;0.00
4171618;1-4-2021 00:00:00;-248638.3;197617;0.00
4171619;1-4-2021 00:00:00;-405461.5;197618;0.00
4178654;1-4-2021 00:00:00;-279399.9;202735;0.00
4181724;31-12-2017 00:00:00;-1.64e+07;108724;0.00
4181724;31-3-2018 00:00:00;-1.64e+07;108724;0.00
4181724;30-9-2018 00:00:00;-1.64e+07;108724;0.00
4181725;31-12-2017 00:00:00;-2.0e+06;109246;0.00
4181725;31-3-2018 00:00:00;-2.0e+06;109246;0.00
4181725;30-9-2018 00:00:00;-2.0e+06;109246;0.00
4181732;31-12-2017 00:00:00;-6.6e+06;110268;0.00
4181732;31-3-2018 00:00:00;-6.6e+06;110268;0.00
4181732;30-9-2018 00:00:00;-6.6e+06;110268;0.00
4181832;30-9-2018 00:00:00;-91500.00;127252;0.00
4181875;31-12-2017 00:00:00;-2.141881e+06;133932;0.00
4181875;31-3-2018 00:00:00;-2.141881e+06;133932;0.00
4181875;30-9-2018 00:00:00;-2.141881e+06;133932;0.00
4181909;31-12-2017 00:00:00;-102046.2;138819;0.00
4181909;31-3-2018 00:00:00;-102046.2;138819;0.00
4181909;30-9-2018 00:00:00;-102046.2;138819;0.00
4181910;31-12-2017 00:00:00;-71611.20;138820;0.00
4181910;31-3-2018 00:00:00;-71611.20;138820;0.00
4181910;30-9-2018 00:00:00;-71611.20;138820;0.00
4181921;31-12-2017 00:00:00;-300000.6;141778;0.00
4181921;31-3-2018 00:00:00;-300000.6;141778;0.00
4181921;30-9-2018 00:00:00;-300000.6;141778;0.00
4181936;31-12-2017 00:00:00;-3.220299e+06;146259;0.00
4181936;31-3-2018 00:00:00;-3.220299e+06;146259;0.00
4181936;30-9-2018 00:00:00;-3.220299e+06;146259;0.00
4181938;30-9-2018 00:00:00;-457500.0;146279;0.00
4181983;30-9-2018 00:00:00;-525502.3;154411;0.00
4181984;30-9-2018 00:00:00;-394126.7;154412;0.00
4182208;1-4-2021 00:00:00;-5.867933e+06;209493;0.00
4182209;1-4-2021 00:00:00;-5.867933e+06;209494;0.00
4182210;1-4-2021 00:00:00;-70033.49;209526;0.00
4183662;17-9-2021 00:00:00;-2.5e+06;134596;1.00
4183684;17-9-2021 00:00:00;-688950.6;137418;0.60
4183721;17-9-2021 00:00:00;-1.438468e+06;146231;0.60
4183722;17-9-2021 00:00:00;-2.82758e+06;146259;1.00
4183725;17-9-2021 00:00:00;-519952.0;146280;0.23
4183736;17-9-2021 00:00:00;-742311.9;147335;0.66
4183759;17-9-2021 00:00:00;-2.220049e+06;151970;0.60
4183770;17-9-2021 00:00:00;-108789.7;154411;0.90
4183776;17-9-2021 00:00:00;-914586.9;156381;0.66
4183786;17-9-2021 00:00:00;-2.186472e+06;157161;0.60
4183791;17-9-2021 00:00:00;-250000.0;157357;0.25
4183814;17-9-2021 00:00:00;-4.893857e+06;160417;1.00
4183816;17-9-2021 00:00:00;-596282.9;160528;0.60
4183833;17-9-2021 00:00:00;-1.477153e+06;164565;0.59
4183846;17-9-2021 00:00:00;-71500.00;168972;0.06
4183854;17-9-2021 00:00:00;-2.0e+06;169372;1.00
4183856;17-9-2021 00:00:00;-5.0e+06;173274;1.00
4183868;17-9-2021 00:00:00;-412146.0;178730;0.48
4183877;17-9-2021 00:00:00;-300000.0;180287;0.10
4183890;17-9-2021 00:00:00;-626470.8;183888;0.10
4183897;17-9-2021 00:00:00;-448438.0;186057;0.10
4183914;17-9-2021 00:00:00;-258224.6;191048;0.10
4183922;17-9-2021 00:00:00;-254178.8;194574;0.10
4183925;17-9-2021 00:00:00;-300000.0;195012;0.15
4183926;17-9-2021 00:00:00;-247151.3;195973;0.10
4183932;17-9-2021 00:00:00;-165168.7;196628;0.10
4183933;17-9-2021 00:00:00;-1.87771e+06;196631;0.58
4183961;17-9-2021 00:00:00;-660204.8;202083;0.33
4183962;17-9-2021 00:00:00;-148053.5;202248;0.10
4183967;17-9-2021 00:00:00;-177075.2;202974;0.22
4183985;17-9-2021 00:00:00;-2.58868e+06;207263;0.85
4183998;17-9-2021 00:00:00;-5.867933e+06;209493;1.00
4183999;17-9-2021 00:00:00;-5.867933e+06;209494;1.00
4184000;17-9-2021 00:00:00;-41053.63;209526;1.00
